Reporting period,Organization,Donor,Cluster,ACTIVITY DESCRIPTION,Implementing Partners,Region,District,SPECIFIC LOCATION ,RURAL/URBAN         ,Status,DURATION,Start Date,End Date,Y_COORD,X_COORD
Periode I,ADRA,EU,Education,Emergency Teacher Incentives,,Galgaduud,Cadaado,Galinsoor,,Ongoing,,1/5/2017,7/30/2020,6.07628,47.40701
Periode I,ADRA,EU,Education,Provision of Food/Food Grant,,Galgaduud,Cadaado,Galinsoor,,Ongoing,,1/5/2017,7/30/2020,6.07628,47.40701
Periode I,ADRA,EU,Education,Provision of Safe Drinking Water,,Galgaduud,Cadaado,Galinsoor,,Ongoing,,1/5/2017,7/30/2020,6.07628,47.40701
Periode I,ADRA,EU,Education,Teaching and Learning Materials,,Galgaduud,Cadaado,Galinsoor,,Ongoing,,1/5/2017,7/30/2020,6.07628,47.40701
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Togdheer,Sheikh,Guud Cado Satellite,,Ongoing,,1/5/2017,7/30/2020,9.92226,45.02943
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Togdheer,Sheikh,Guud Cado Satellite,,Ongoing,,1/5/2017,7/30/2020,9.92226,45.02943
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Togdheer,Sheikh,Guud Cado Satellite,,Ongoing,,1/5/2017,7/30/2020,9.92226,45.02943
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Togdheer,Sheikh,Guud Cado Satellite,,Ongoing,,1/5/2017,7/30/2020,9.92226,45.02943
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Togdheer,Sheikh,Guud Cado Satellite,,Ongoing,,1/5/2017,7/30/2020,9.92226,45.02943
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Togdheer,Sheikh,Guud Cado Satellite,,Ongoing,,1/5/2017,7/30/2020,9.92226,45.02943
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Awdal,Lughaye,Lughaye,,Ongoing,,1/5/2017,7/30/2020,10.86573,43.74596
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Awdal,Lughaye,Lughaye,,Ongoing,,1/5/2017,7/30/2020,10.86573,43.74596
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Awdal,Lughaye,Lughaye,,Ongoing,,1/5/2017,7/30/2020,10.86573,43.74596
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Awdal,Lughaye,Lughaye,,Ongoing,,1/5/2017,7/30/2020,10.86573,43.74596
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Awdal,Lughaye,Lughaye,,Ongoing,,1/5/2017,7/30/2020,10.86573,43.74596
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Awdal,Lughaye,Lughaye,,Ongoing,,1/5/2017,7/30/2020,10.86573,43.74596
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Awdal,Lughaye,Lughaye,,Ongoing,,1/5/2017,7/30/2020,10.86573,43.74596
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of TLC,,Woqooyi Galbeed,Gebiley,Ijaara,,Ongoing,,1/5/2017,7/30/2020,9.69712,43.62347
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Woqooyi Galbeed,Gebiley,Ijaara,,Ongoing,,1/5/2017,7/30/2020,9.69712,43.62347
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Woqooyi Galbeed,Gebiley,Ijaara,,Ongoing,,1/5/2017,7/30/2020,9.69712,43.62347
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Woqooyi Galbeed,Gebiley,Ijaara,,Ongoing,,1/5/2017,7/30/2020,9.69712,43.62347
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Gebiley,Ijaara,,Ongoing,,1/5/2017,7/30/2020,9.69712,43.62347
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Woqooyi Galbeed,Gebiley,Ijaara,,Ongoing,,1/5/2017,7/30/2020,9.69712,43.62347
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Woqooyi Galbeed,Gebiley,Ijaara,,Ongoing,,1/5/2017,7/30/2020,9.69712,43.62347
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of TLC,,Woqooyi Galbeed,Berbera,Laas Ciidle,,Ongoing,,1/5/2017,7/30/2020,10.176004,45.985151
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Woqooyi Galbeed,Berbera,Laas Ciidle,,Ongoing,,1/5/2017,7/30/2020,10.176004,45.985151
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Woqooyi Galbeed,Berbera,Laas Ciidle,,Ongoing,,1/5/2017,7/30/2020,10.176004,45.985151
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Woqooyi Galbeed,Berbera,Laas Ciidle,,Ongoing,,1/5/2017,7/30/2020,10.176004,45.985151
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Berbera,Laas Ciidle,,Ongoing,,1/5/2017,7/30/2020,10.176004,45.985151
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Woqooyi Galbeed,Berbera,Laas Ciidle,,Ongoing,,1/5/2017,7/30/2020,10.176004,45.985151
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Woqooyi Galbeed,Berbera,Laas Ciidle,,Ongoing,,1/5/2017,7/30/2020,10.176004,45.985151
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of TLC,,Awdal,Borama,Quljed,,Ongoing,,1/5/2017,7/30/2020,10.10103,43.07492
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Awdal,Borama,Quljed,,Ongoing,,1/5/2017,7/30/2020,10.10103,43.07492
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Awdal,Borama,Quljed,,Ongoing,,1/5/2017,7/30/2020,10.10103,43.07492
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Awdal,Borama,Quljed,,Ongoing,,1/5/2017,7/30/2020,10.10103,43.07492
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Awdal,Borama,Quljed,,Ongoing,,1/5/2017,7/30/2020,10.10103,43.07492
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Awdal,Borama,Quljed,,Ongoing,,1/5/2017,7/30/2020,10.10103,43.07492
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Awdal,Borama,Quljed,,Ongoing,,1/5/2017,7/30/2020,10.10103,43.07492
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of TLC,,Woqooyi Galbeed,Hargeysa,Salaxley,,Ongoing,,1/5/2017,7/30/2020,9.58853,44.68853
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Woqooyi Galbeed,Hargeysa,Salaxley,,Ongoing,,1/5/2017,7/30/2020,9.58853,44.68853
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Woqooyi Galbeed,Hargeysa,Salaxley,,Ongoing,,1/5/2017,7/30/2020,9.58853,44.68853
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Woqooyi Galbeed,Hargeysa,Salaxley,,Ongoing,,1/5/2017,7/30/2020,9.58853,44.68853
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Hargeysa,Salaxley,,Ongoing,,1/5/2017,7/30/2020,9.58853,44.68853
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Woqooyi Galbeed,Hargeysa,Salaxley,,Ongoing,,1/5/2017,7/30/2020,9.58853,44.68853
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Woqooyi Galbeed,Hargeysa,Salaxley,,Ongoing,,1/5/2017,7/30/2020,9.58853,44.68853
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of TLC,,Togdheer,Sheikh,Suuqsade,,Ongoing,,1/5/2017,7/30/2020,9.94136,45.330108
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Togdheer,Sheikh,Suuqsade,,Ongoing,,1/5/2017,7/30/2020,9.94136,45.330108
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Togdheer,Sheikh,Suuqsade,,Ongoing,,1/5/2017,7/30/2020,9.94136,45.330108
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Togdheer,Sheikh,Suuqsade,,Ongoing,,1/5/2017,7/30/2020,9.94136,45.330108
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Togdheer,Sheikh,Suuqsade,,Ongoing,,1/5/2017,7/30/2020,9.94136,45.330108
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Togdheer,Sheikh,Suuqsade,,Ongoing,,1/5/2017,7/30/2020,9.94136,45.330108
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Togdheer,Sheikh,Suuqsade,,Ongoing,,1/5/2017,7/30/2020,9.94136,45.330108
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of TLC,,Woqooyi Galbeed,Berbera,Xagal,,Ongoing,,1/5/2017,7/30/2020,3.25395,43.292141
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Woqooyi Galbeed,Berbera,Xagal,,Ongoing,,1/5/2017,7/30/2020,3.25395,43.292141
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Woqooyi Galbeed,Berbera,Xagal,,Ongoing,,1/5/2017,7/30/2020,3.25395,43.292141
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Woqooyi Galbeed,Berbera,Xagal,,Ongoing,,1/5/2017,7/30/2020,3.25395,43.292141
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Berbera,Xagal,,Ongoing,,1/5/2017,7/30/2020,3.25395,43.292141
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Woqooyi Galbeed,Berbera,Xagal,,Ongoing,,1/5/2017,7/30/2020,3.25395,43.292141
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Woqooyi Galbeed,Berbera,Xagal,,Ongoing,,1/5/2017,7/30/2020,3.25395,43.292141
Periode I,ADRA,EU,Education,Emergency Teacher Incentives,,Banadir,Waaberi,Waaberi,,Ongoing,,7/11/2017,7/11/2021,2.019514,45.31
Periode I,ADRA,EU,Education,Provision of Food/Food Grant,,Banadir,Waaberi,Waaberi,,Ongoing,,7/11/2017,7/11/2021,2.019514,45.31
Periode I,ADRA,EU,Education,Provision of Safe Drinking Water,,Banadir,Waaberi,Waaberi,,Ongoing,,7/11/2017,7/11/2021,2.019514,45.31
Periode I,ADRA,EU,Education,Construction/Rehabilitation of TLC,,Banadir,Waaberi,Waaberi,,Ongoing,,7/11/2017,7/11/2021,2.019514,45.31
Periode I,ADRA,EU,Education,Construction/Rehabilitation of WASH facilites,,Banadir,Waaberi,Waaberi,,Ongoing,,7/11/2017,7/11/2021,2.019514,45.31
Periode I,ADRA,EU,Education,Teaching and Learning Materials,,Banadir,Waaberi,Waaberi,,Ongoing,,7/11/2017,7/11/2021,2.019514,45.31
Periode I,ADRA,EU,Education,Construction/Rehabilitation of WASH facilites,,Mudug,Gaalkacyo,Bandiidley,,Ongoing,,7/11/2017,7/11/2021,7.09576,48.16012
Periode I,ADRA,EU,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Bandiidley,,Ongoing,,7/11/2017,7/11/2021,7.09576,48.16012
Periode I,ADRA,EU,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Bandiidley,,Ongoing,,7/11/2017,7/11/2021,7.09576,48.16012
Periode I,ADRA,EU,Education,Provision of Safe Drinking Water,,Mudug,Gaalkacyo,Bandiidley,,Ongoing,,7/11/2017,7/11/2021,7.09576,48.16012
Periode I,ADRA,EU,Education,Teaching and Learning Materials,,Mudug,Gaalkacyo,Bandiidley,,Ongoing,,7/11/2017,7/11/2021,7.09576,48.16012
Periode I,ADRA,EU,Education,Construction/Rehabilitation of WASH facilites,,Mudug,Hobyo,El Gorei,,Ongoing,,7/11/2017,7/11/2021,5.8174,48.372799
Periode I,ADRA,EU,Education,Construction/Rehabilitation of Water Storage Tanks,,Mudug,Hobyo,El Gorei,,Ongoing,,7/11/2017,7/11/2021,5.8174,48.372799
Periode I,ADRA,EU,Education,Emergency Teacher Incentives,,Mudug,Hobyo,El Gorei,,Ongoing,,7/11/2017,7/11/2021,5.8174,48.372799
Periode I,ADRA,EU,Education,Provision of Food/Food Grant,,Mudug,Hobyo,El Gorei,,Ongoing,,7/11/2017,7/11/2021,5.8174,48.372799
Periode I,ADRA,EU,Education,Provision of Safe Drinking Water,,Mudug,Hobyo,El Gorei,,Ongoing,,7/11/2017,7/11/2021,5.8174,48.372799
Periode I,ADRA,EU,Education,Teaching and Learning Materials,,Mudug,Hobyo,El Gorei,,Ongoing,,7/11/2017,7/11/2021,5.8174,48.372799
Periode I,ADRA,EU,Education,Construction/Rehabilitation of WASH facilites,,Mudug,Gaalkacyo,Docol,,Ongoing,,7/11/2017,7/11/2021,6.9545,47.31886
Periode I,ADRA,EU,Education,Construction/Rehabilitation of Water Storage Tanks,,Mudug,Gaalkacyo,Docol,,Ongoing,,7/11/2017,7/11/2021,6.9545,47.31886
Periode I,ADRA,EU,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Docol,,Ongoing,,7/11/2017,7/11/2021,6.9545,47.31886
Periode I,ADRA,EU,Education,Provision of Safe Drinking Water,,Mudug,Gaalkacyo,Docol,,Ongoing,,7/11/2017,7/11/2021,6.9545,47.31886
Periode I,ADRA,EU,Education,Teaching and Learning Materials,,Mudug,Gaalkacyo,Docol,,Ongoing,,7/11/2017,7/11/2021,6.9545,47.31886
Periode I,ADRA,EU,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Docol,,Ongoing,,7/11/2017,7/11/2021,6.9545,47.31886
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of WASH facilites,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of TLC,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Provision of Food/Food Grant,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Provision of Safe Drinking Water,,Lower Juba,Kismaayo,Kismayo,,Ongoing,,1/1/2019,31-11-2019,-0.36987,42.301331
Periode I,ADRA,UN OCHA SHF,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Hygiene Promotion,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Other- please specify,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of WASH facilites,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of TLC,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Provision of Food/Food Grant,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Provision of Safe Drinking Water,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Hygiene Promotion,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Other- please specify,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of WASH facilites,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of TLC,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Provision of Food/Food Grant,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Provision of Safe Drinking Water,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,CECs Training on School Water Management,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Teacher Training,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Hygiene Promotion,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Other- please specify,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of WASH facilites,,Lower Juba,Kismaayo,Fanole,,Ongoing,,1/1/2019,31-11-2019,-0.1301,42.9692
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of TLC,,Lower Juba,Kismaayo,Fanole,,Ongoing,,1/1/2019,31-11-2019,-0.1301,42.9692
Periode I,ADRA,UN OCHA SHF,Education,Provision of Food/Food Grant,,Lower Juba,Kismaayo,Fanole,,Ongoing,,1/1/2019,31-11-2019,-0.1301,42.9692
Periode I,ADRA,UN OCHA SHF,Education,Provision of Safe Drinking Water,,Lower Juba,Kismaayo,Fanole,,Ongoing,,1/1/2019,31-11-2019,-0.1301,42.9692
Periode I,ADRA,UN OCHA SHF,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Fanole,,Ongoing,,1/1/2019,31-11-2019,-0.1301,42.9692
Periode I,ADRA,UN OCHA SHF,Education,Hygiene Promotion,,Lower Juba,Kismaayo,Fanole,,Ongoing,,1/1/2019,31-11-2019,-0.1301,42.9692
Periode I,ADRA,UN OCHA SHF,Education,Other- please specify,,Lower Juba,Kismaayo,Fanole,,Ongoing,,1/1/2019,31-11-2019,-0.1301,42.9692
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of WASH facilites,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of TLC,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Provision of Food/Food Grant,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Provision of Safe Drinking Water,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Hygiene Promotion,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Other- please specify,,Lower Juba,Kismaayo,Dalxiiska,,Ongoing,,1/1/2019,31-11-2019,-0.101,41.7999
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of WASH facilites,,Lower Juba,Kismaayo,Goob Weyn,,Ongoing,,1/1/2019,31-11-2019,-0.5505,41.647999
Periode I,ADRA,UN OCHA SHF,Education,Provision of Food/Food Grant,,Lower Juba,Kismaayo,Goob Weyn,,Ongoing,,1/1/2019,31-11-2019,-0.5505,41.647999
Periode I,ADRA,UN OCHA SHF,Education,Provision of Safe Drinking Water,,Lower Juba,Kismaayo,Goob Weyn,,Ongoing,,1/1/2019,31-11-2019,-0.5505,41.647999
Periode I,ADRA,UN OCHA SHF,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Goob Weyn,,Ongoing,,1/1/2019,31-11-2019,-0.5505,41.647999
Periode I,ADRA,UN OCHA SHF,Education,Hygiene Promotion,,Lower Juba,Kismaayo,Goob Weyn,,Ongoing,,1/1/2019,31-11-2019,-0.5505,41.647999
Periode I,ADRA,UN OCHA SHF,Education,Other- please specify,,Lower Juba,Kismaayo,Goob Weyn,,Ongoing,,1/1/2019,31-11-2019,-0.5505,41.647999
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of WASH facilites,,Lower Juba,Kismaayo,Shaqalaha,,Ongoing,,1/1/2019,31-11-2019,-0.2285,42.871601
Periode I,ADRA,UN OCHA SHF,Education,Construction/Rehabilitation of WASH facilites,,Lower Juba,Kismaayo,Shaqalaha,,Ongoing,,1/1/2019,31-11-2019,-0.2285,42.871601
Periode I,ADRA,UN OCHA SHF,Education,Provision of Food/Food Grant,,Lower Juba,Kismaayo,Shaqalaha,,Ongoing,,1/1/2019,31-11-2019,-0.2285,42.871601
